"Customer_service" "Punctuality" "Space" "Meets_needs" "Worth" "Tidyness" "Changing" "High_grade"
"1" 3 2 5 4 "yes" 3 4 TRUE
"2" 5 4 4 5 "yes" 4 4 TRUE
"3" 5 4 5 5 "yes" 4 5 TRUE
"4" 4 5 4 4 "yes" 4 4 FALSE
"5" 4 3 4 5 "no" 4 5 TRUE
"6" 5 5 5 5 "yes" 4 4 TRUE
"7" 4 4 5 4 "yes" 4 5 TRUE
"8" 3 4 5 5 "yes" 5 4 FALSE
"9" 4 4 5 4 "yes" 3 4 TRUE
"10" 4 4 4 5 "yes" 3 4 TRUE
"11" 4 5 5 4 "yes" 5 5 TRUE
"12" 3 4 5 4 "yes" 5 4 TRUE
"13" 5 5 5 5 "yes" 5 5 TRUE
"14" 3 5 5 4 "yes" 4 5 TRUE
"15" 4 5 5 5 "yes" 4 5 TRUE
"16" 5 5 5 5 "yes" 5 5 TRUE
"17" 5 5 5 4 "yes" 5 4 TRUE
"18" 4 5 5 5 "yes" 5 5 TRUE
"19" 4 5 5 5 "yes" 5 5 TRUE
"20" 4 4 5 5 "yes" 5 4 TRUE
"21" 4 3 5 3 "yes" 3 4 TRUE
"22" 4 5 5 5 "yes" 4 2 TRUE
"23" 4 3 5 5 "yes" 3 4 TRUE
"24" 5 5 5 5 "yes" 5 5 TRUE
"25" 4 2 3 5 "no" 2 3 FALSE
"26" 5 4 3 5 "yes" 3 4 TRUE
"27" 4 5 4 5 "yes" 5 5 TRUE
"28" 4 4 5 4 "yes" 4 4 TRUE
"29" 4 4 5 5 "yes" 4 5 TRUE
"30" 4 3 4 5 "yes" 3 5 TRUE
"31" 5 3 4 5 "yes" 4 4 TRUE
"32" 4 4 5 5 "yes" 5 5 TRUE
"33" 4 4 4 4 "yes" 3 4 TRUE
"34" 4 5 5 5 "yes" 5 4 TRUE
"35" 5 4 5 5 "yes" 4 5 TRUE
"36" 5 5 5 5 "yes" 5 5 TRUE
"37" 4 4 5 5 "yes" 5 5 TRUE
"38" 4 4 4 4 "yes" 3 4 TRUE
"39" 5 4 4 4 "yes" 5 5 TRUE
"40" 5 3 5 3 "yes" 4 2 TRUE
"41" 4 4 5 5 "yes" 3 2 TRUE
"42" 4 4 4 4 "yes" 3 5 TRUE
"43" 4 2 4 5 "yes" 4 4 TRUE
"44" 4 4 5 5 "yes" 4 4 TRUE
"45" 4 5 5 5 "yes" 4 5 TRUE
"46" 4 3 4 5 "yes" 4 4 TRUE
"47" 4 2 4 5 "yes" 3 5 TRUE
"48" 5 4 4 5 "yes" 4 5 TRUE
"49" 4 2 3 2 "no" 2 2 FALSE
"50" 4 3 4 5 "yes" 3 5 TRUE
"51" 4 5 5 5 "yes" 4 4 TRUE
"52" 4 5 5 5 "yes" 3 4 TRUE
"53" 4 5 5 4 "yes" 4 4 TRUE
"54" 4 3 5 4 "yes" 3 5 TRUE
"55" 4 4 5 5 "yes" 3 5 TRUE
"56" 4 3 4 4 "yes" 5 5 TRUE
"57" 4 4 5 5 "yes" 3 3 TRUE
"58" 5 5 5 5 "yes" 5 4 TRUE
"59" 4 5 4 4 "yes" 5 4 TRUE
"60" 4 5 5 4 "yes" 4 4 TRUE
"61" 5 4 4 5 "yes" 4 5 TRUE
"62" 4 4 5 5 "yes" 4 5 TRUE
"63" 4 4 4 5 "yes" 5 2 TRUE
"64" 4 4 5 5 "no" 4 5 TRUE
"65" 3 5 4 4 "yes" 3 4 FALSE
"66" 4 3 5 5 "yes" 3 4 TRUE
"67" 3 3 5 5 "yes" 4 5 TRUE
"68" 4 5 5 5 "yes" 4 5 TRUE
"69" 3 4 4 3 "yes" 3 3 TRUE
"70" 4 4 5 5 "yes" 4 5 TRUE
"71" 5 4 5 5 "yes" 4 4 TRUE
"72" 4 5 5 5 "yes" 4 4 TRUE
"73" 4 4 5 4 "no" 5 5 TRUE
"74" 4 5 4 4 "yes" 5 4 TRUE
"75" 4 4 5 5 "yes" 4 5 TRUE
"76" 3 4 5 5 "yes" 4 5 TRUE
"77" 2 1 3 5 "yes" 4 2 FALSE
"78" 3 4 5 4 "yes" 5 4 TRUE
"79" 4 5 5 5 "yes" 4 5 TRUE
