"Grade" "Punctuality" "Space" "Meets_needs" "Gender" "Age" "Car" "Worth" "Frequency"
"1" "4" "2" "5" "4" "2" "2" "2" "1" "2"
"2" "5" "4" "4" "5" "2" "1" "2" "1" "1"
"3" "5" "4" "5" "5" "2" "3" "1" "1" "1"
"4" "5" "4" "4" "4" "1" "3" "2" "1" "1"
"5" "4" "3" "4" "5" "1" "5" "2" "2" "1"
"6" "4" "5" "5" "5" "2" "5" "2" "1" "2"
"7" "4" "4" "5" "4" "1" "5" "2" "1" "2"
"8" "3" "4" "5" "5" "1" "3" "1" "1" "4"
"9" "4" "4" "5" "4" "1" "2" "2" "1" "3"
"10" "4" "4" "4" "5" "1" "4" "2" "1" "1"
"11" "4" "5" "5" "4" "1" "5" "1" "1" "4"
"12" "4" "4" "5" "4" "1" "3" "2" "1" "4"
"13" "4" "5" "5" "5" "1" "3" "2" "1" "2"
"14" "4" "5" "5" "4" "1" "2" "2" "1" "1"
"15" "4" "5" "5" "5" "2" "2" "2" "1" "3"
"16" "5" "5" "5" "5" "2" "1" "2" "1" "2"
"17" "4" "5" "5" "4" "2" "3" "1" "1" "4"
"18" "4" "5" "5" "5" "1" "5" "1" "1" "3"
"19" "5" "5" "5" "5" "1" "5" "2" "1" "3"
"20" "4" "4" "5" "5" "1" "1" "2" "1" "2"
"21" "4" "3" "5" "3" "1" "5" "1" "1" "2"
"22" "4" "5" "5" "5" "1" "4" "1" "1" "2"
"23" "5" "5" "5" "5" "1" "4" "1" "1" "1"
"24" "2" "2" "3" "5" "1" "5" "2" "2" "1"
"25" "4" "4" "3" "5" "1" "2" "2" "1" "3"
"26" "5" "5" "4" "5" "1" "4" "2" "1" "2"
"27" "4" "4" "5" "4" "2" "4" "1" "1" "1"
"28" "5" "4" "5" "5" "1" "5" "2" "1" "4"
"29" "5" "3" "4" "5" "1" "5" "2" "1" "1"
"30" "5" "3" "4" "5" "2" "4" "1" "1" "1"
"31" "4" "4" "5" "5" "1" "3" "2" "1" "1"
"32" "4" "4" "4" "4" "2" "4" "2" "1" "1"
"33" "5" "5" "5" "5" "1" "4" "2" "1" "3"
"34" "5" "4" "5" "5" "2" "4" "1" "1" "1"
"35" "5" "4" "5" "4" "2" "3" "2" "1" "1"
"36" "5" "4" "5" "5" "1" "2" "2" "1" "1"
"37" "4" "4" "4" "4" "2" "5" "1" "1" "1"
"38" "4" "4" "4" "4" "2" "5" "2" "1" "1"
"39" "4" "3" "5" "3" "1" "3" "2" "1" "1"
"40" "4" "4" "5" "5" "2" "1" "1" "1" "1"
"41" "4" "4" "4" "4" "1" "3" "2" "1" "2"
"42" "5" "4" "5" "4" "2" "1" "2" "1" "1"
"43" "4" "4" "4" "4" "2" "1" "2" "1" "1"
"44" "4" "2" "4" "5" "2" "4" "1" "1" "2"
"45" "5" "4" "5" "5" "1" "3" "2" "1" "1"
"46" "4" "5" "5" "5" "1" "5" "1" "1" "4"
"47" "5" "3" "4" "5" "2" "3" "1" "1" "2"
